YEAR,MONTH,N
2001,1,5468
2001,2,4862
2001,3,6486
2001,4,6088
2001,5,6285
2001,6,5670
2001,7,5874
2001,8,6706
2001,9,5595
2001,10,6499
2001,11,5793
2001,12,5572
2002,1,6398
2002,2,5904
2002,3,6524
2002,4,7382
2002,5,6404
2002,6,5429
2002,7,6381
2002,8,6496
2002,9,6452
2002,10,6955
2002,11,6333
2002,12,5920
2003,1,6406
2003,2,6546
2003,3,6052
2003,4,6600
2003,5,6651
2003,6,5774
2003,7,7410
2003,8,6418
2003,9,6837
2003,10,7087
2003,11,6360
2003,12,6325
2004,1,5914
2004,2,5540
2004,3,7222
2004,4,6691
2004,5,6531
2004,6,5920
2004,7,6452
2004,8,6823
2004,9,6690
2004,10,6616
2004,11,6646
2004,12,6154
2005,1,6006
2005,2,5416
2005,3,6957
2005,4,6511
2005,5,6673
2005,6,6521
2005,7,5929
2005,8,7003
2005,9,6555
2005,10,5973
2005,11,6207
2005,12,6121
2006,1,6377
2006,2,5730
2006,3,6999
2006,4,5738
2006,5,6498
2006,6,5891
2006,7,6080
2006,8,6680
2006,9,5818
2006,10,6040
2006,11,5743
2006,12,5576
2007,1,5713
2007,2,5052
2007,3,6748
2007,4,6020
2007,5,6232
2007,6,5497
2007,7,6035
2007,8,6350
2007,9,5700
2007,10,6536
2007,11,5525
2007,12,5216
2008,1,5992
2008,2,5520
2008,3,5979
2008,4,6430
2008,5,5713
2008,6,5817
2008,7,6393
2008,8,6544
2008,9,6648
2008,10,6283
2008,11,5840
2008,12,5617
2009,1,5818
2009,2,5287
2009,3,6835
2009,4,6242
2009,5,6019
2009,6,5702
2009,7,6175
2009,8,6266
2009,9,6231
2009,10,6206
2009,11,6154
2009,12,5822
2010,1,5593
2010,2,5152
2010,3,6882
2010,4,5832
2010,5,5834
2010,6,5392
2010,7,5897
2010,8,6319
2010,9,5943
2010,10,5917
2010,11,5974
2010,12,6175
2011,1,5730
2011,2,6010
2011,3,6220
2011,4,6148
2011,5,6497
2011,6,5784
2011,7,5706
2011,8,6670
2011,9,6193
2011,10,5778
2011,11,6083
2011,12,5860
2012,1,6060
2012,2,5412
2012,3,6469
2012,4,5743
2012,5,6282
2012,6,5620
2012,7,6026
2012,8,6599
2012,9,5542
2012,10,6477
2012,11,5736
2012,12,5203
2013,1,6308
2013,2,5113
2013,3,5721
2013,4,6399
2013,5,5774
2013,6,5659
2013,7,6162
2013,8,6542
2013,9,6135
2013,10,6502
2013,11,5835
2013,12,5318
2014,1,6124
2014,2,5741
2014,3,5324
2014,4,5908
2014,5,5797
2014,6,5225
2014,7,6201
2014,8,5913
2014,9,6182
2014,10,6154
2014,11,5700
2014,12,5532
2015,1,5625
2015,2,5000
2015,3,6305
2015,4,5608
2015,5,5562
2015,6,5720
2015,7,6114
2015,8,6103
2015,9,5988
2015,10,5973
2015,11,5968
2015,12,5732
2016,1,5590
2016,2,5490
2016,3,6441
2016,4,5975
2016,5,5983
2016,6,6152
2016,7,5741
2016,8,6459
2016,9,5758
2016,10,5308
2016,11,5845
2016,12,5479
2017,1,6144
2017,2,5580
2017,3,7249
2017,4,5582
2017,5,6624
2017,6,6146
2017,7,5925
2017,8,6833
2017,9,6072
2017,10,6454
2017,11,6235
2017,12,5791
2018,1,6283
2018,2,5579
2018,3,6417
2018,4,6568
2018,5,6504
2018,6,6313
2018,7,6679
2018,8,7379
2018,9,6340
2018,10,7323
2018,11,6360
2018,12,5750
2019,1,6709
2019,2,6320
2019,3,6009
2019,4,6817
2019,5,6943
2019,6,5886
2019,7,6936
2019,8,6794
2019,9,6753
2019,10,7150
2019,11,6354
2019,12,6044
2020,1,7069
2020,2,5874
2020,3,7005
2020,4,5089
2020,5,4560
2020,6,5227
2020,7,5832
2020,8,5641
2020,9,6180
2020,10,5952
2020,11,5342
2020,12,4212
